OrderYear,OrderMonth,City,CustomerID,CustomerName,Discount,记录数,OrderDate,OrderID,PostalCode,ProductCategory,ProductName,ProductSubCategory,Profit,Region,Sales,ShipDate,ShipMode,ShippingCost,State,UnitPrice
2012,12,Atlanta,1745,Herbert Holden,0.07,1,2012/12/31,3271,30305,Technology,Panasonic KX-P1131 Dot Matrix Printer,Office Machines,1844.7713,South,23065.98,2012/12/31,Delivery Truck,17.86,Georgia,264.98
2013,8,Atlanta,1060,Gene Gilliam,0.04,1,2013/8/9,48774,30318,Furniture,Hon Deluxe Fabric Upholstered Stacking Chairs,Chairs & Chairmats,384.2785,South,14647.56,2013/8/11,Delivery Truck,62.94,Georgia,243.98
2012,10,Atlanta,2655,Benjamin Lam,0,1,2012/10/3,86071,30318,Furniture,Bretford Rectangular Conference Table Tops,Tables,-164.0268,South,7092.73,2012/10/4,Delivery Truck,85.63,Georgia,376.13
2012,7,Atlanta,1745,Herbert Holden,0.02,1,2012/7/3,11876,30305,Furniture,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Office Furnishings,1144.9228,South,6771.68,2012/7/6,Regular Air,5.81,Georgia,107.53
2012,5,Atlanta,471,Ross Simpson,0.07,1,2012/5/9,13730,30318,Furniture,Bevis Round Conference Table Top & Single Column Base,Tables,-470.986516,South,5704.74,2012/5/11,Delivery Truck,43.75,Georgia,146.34
2010,3,Atlanta,1060,Gene Gilliam,0.09,1,2010/3/24,58628,30318,Furniture,Balt Split Level Computer Training Table,Tables,-445.9717763,South,2527.79,2010/3/25,Delivery Truck,52.42,Georgia,138.75
2012,1,Atlanta,1745,Herbert Holden,0,1,2012/1/11,21670,30305,Furniture,Howard Miller 12-3/4 Diameter Accuwave DS ? Wall Clock,Office Furnishings,556.6025,South,2210.86,2012/1/12,Regular Air,19.99,Georgia,78.69
2011,9,Atlanta,2655,Benjamin Lam,0,1,2011/9/23,86066,30318,Technology,US Robotics 56K V.92 External Faxmodem,Computer Peripherals,46.38,South,2149.08,2011/9/24,Regular Air,19.99,Georgia,99.99
2012,4,Atlanta,471,Ross Simpson,0.05,1,2012/4/18,13634,30318,Technology,"IBM Active Response Keyboard, Black",Computer Peripherals,70.0217,South,2062.06,2012/4/18,Regular Air,7.12,Georgia,39.98
2013,11,Atlanta,1060,Gene Gilliam,0.04,1,2013/11/30,57061,30318,Office Supplies,"Avery Flip-Chart Easel Binder, Black",Binders and Binder Accessories,-106.54497,South,1703.81,2013/12/7,Regular Air,15.1,Georgia,22.38
2013,8,Atlanta,1745,Herbert Holden,0.09,1,2013/8/16,13601,30305,Office Supplies,"Eureka Hand Vacuum, Bagless",Appliances,-126.0308,South,1645.82,2013/8/20,Regular Air,19.99,Georgia,49.43
2010,12,Atlanta,1745,Herbert Holden,0.1,1,2010/12/12,12224,30305,Technology,Accessory17,Telephones and Communication,-277.20924,South,1569,2010/12/12,Regular Air,5,Georgia,35.99
2010,2,Atlanta,471,Ross Simpson,0.07,1,2010/2/8,3138,30318,Technology,Motorola SB4200 Cable Modem,Computer Peripherals,-568.5351,South,718.03,2010/2/8,Express Air,19.99,Georgia,179.99
2010,12,Atlanta,1745,Herbert Holden,0.04,1,2010/12/12,12224,30305,Furniture,Bevis 36 x 72 Conference Tables,Tables,-247.55157,South,605.82,2010/12/14,Delivery Truck,51.94,Georgia,124.49
2011,2,Atlanta,1060,Gene Gilliam,0.03,1,2011/2/17,36065,30318,Office Supplies,Brown Kraft Recycled Envelopes,Envelopes,-85.0934,South,538.3,2011/2/17,Regular Air,12.39,Georgia,16.98
2011,5,Atlanta,1745,Herbert Holden,0.06,1,2011/5/15,5703,30305,Office Supplies,Xerox 1881,Paper,6.9948,South,518.42,2011/5/16,Regular Air,6.47,Georgia,12.28
